Rank,COE_score,Farm,High_bid,Total_value,Company,Farmer/Rep.,Altitude,Country,Year,City,Region,Coffee_characteristics,Flavor,Acidity,Process,Variety,country
1a,90.03,Los Tres Mosqueteros,$69.00,"$41,072.25",Sarutahiko Coffee Inc.,Felipe Henao Triana,950  -  2.100 m.a.s.l ,Colombia,2020, Urrao,Antioquia,"Tropical Fruit (3), Brown Spice (2), Chocolate (2), Cranberry (2), Floral (2), Fruity (2), Passion Fruit (2), Almond, Banana, Berry, Blackberry, Blueberry, Caramel, Coconut, Coffee pulp cherry liquor, Dragon fruit, Grapefruit, Jasmine, Juicy red fruit, Pear, Perfumed, Raisin, White Grape","Citric Acid (4), Complex (3), Bright, Bright and complex, Bright citric, Crisp, Dimensional, Dried Fruit, Juicy, Malic Acid, Medium, Persistent, Red Apple, Tangy, Tart","Tropical Fruit (2), Brown Spice, Brown Sugar, Consistent, Dense, Full bodied, Lingering aftertaste, Multifaceted, Rich, Rich mouthfeel, Smooth aftertaste, Syrupy mouthfeel, Very typical tropical fruit",Washed,Chiroso,Colombia
1b,90.03,Los Tres Mosqueteros,$70.00,"$39,352.60","SUPREMO COFFEE, Cometeer, L’escargot d’or cosmetocafe, Proud Mary Coffee Roasters",Felipe Henao Triana,950  -  2.100 m.a.s.l ,Colombia,2020, Urrao,Antioquia,"Tropical Fruit (3), Brown Spice (2), Chocolate (2), Cranberry (2), Floral (2), Fruity (2), Passion Fruit (2), Almond, Banana, Berry, Blackberry, Blueberry, Caramel, Coconut, Coffee pulp cherry liquor, Dragon fruit, Grapefruit, Jasmine, Juicy red fruit, Pear, Perfumed, Raisin, White Grape","Citric Acid (4), Complex (3), Bright, Bright and complex, Bright citric, Crisp, Dimensional, Dried Fruit, Juicy, Malic Acid, Medium, Persistent, Red Apple, Tangy, Tart","Tropical Fruit (2), Brown Spice, Brown Sugar, Consistent, Dense, Full bodied, Lingering aftertaste, Multifaceted, Rich, Rich mouthfeel, Smooth aftertaste, Syrupy mouthfeel, Very typical tropical fruit",Washed,Chiroso,Colombia
2,89.5,El Porvenir,$25.70,"$22,946.76",Global Performance LLC,Luis Orlando Sanchez Guevara,1760  m.a.s.l,Colombia,2020,Palestina,Huila,"Apricot (2), Floral (2), Jasmine (2), Almond, Black Currant, Blackberry, Brown Sugar, Chocolate, Cinnamon, Citrus, Fruity, Green Grape, Lime, Lychee, Mango, Melon, Sweet spice, Tropical Fruit","Citric Acid (4), Complex (3), Bright (2), Lemon & Lime (2), Malic Acid (2), Berry, Black Cherry, Grapefruit, Lactic, Lively, Mandarin Orange, Orange, Stone Fruit, Tangy, Tartaric","Elegant (2), Berry, Complex, Exotic, Juicy, Mandarin Orange, Peach, Smooth mouthfeel, Yogurt",Washed,Gesha,Colombia
3,89.25,El Paraíso,$33.20,"$30,741.21","Intelligentsia (USA), Single O (AU), La Boheme (CZ), Moustache Coffee Club (USA)",John Gomez,,Colombia,2020,Buesaco,Nariño,"Floral (6), Stone Fruit (3), Bergamot (2), Caramel (2), Jasmine (2), Brown Spice, Chocolate, Cocoa, Dark Chocolate, Fruity, Lemon & Lime, Light floral, Milk Chocolate, Nut, Nutty, Oat, Peach, Perfume, Raspberry, Roasted Hazelnut, Sweet & Sugary, Sweet stone fruit, Yoghurt","Citric Acid (5), Complex (3), Lemon (2), Malic Acid (2), Bright, Citrus, Clean, Delicate, Fresh, Green Grape, Juicy, Orange, Stone Fruit, Transparent","Apricot, Brilliant, Clean, Ethiopia like, Floral, Gesha like, Improves, Layered, Lingering, Lingering aftertaste, Medium complex, Milk Chocolate, Perfumy aroma, Roasted Hazelnut, Very aromatic, Zesty",Washed,Gesha,Colombia
4,88.69,Buenos Aires,$37.00,"$14,682.71","DABOV Specialty Coffee, Coffee Me Up (Korea), tochcoffee, coffee therapy (Thailand)⁣",Israel Hernandez,,Colombia,2020,Rio Blanco,Tolima,"Floral (7), Bergamot (2), Jasmine (2), Jasmine Honeysuckle (2), Orange (2), Apricot, Bergamot, Caramel, Cinnamon, Citrus Fruit, Fruity, Hazelnut, Jammy, Lemon & Lime, Matcha white chocolate, Mint, Peach, Red Apple, Red Currant, Sweet, Tropical Fruit","Citric Acid (3), Soft (2), White Grape (2), Bright, Crisp, Delicate, Lemon & Lime, Lime, Lively, Mandarin Orange, Mild, Orange, Stone Fruit, Sweet","Elegant, Flat out while it cools, High sweetness, Lingering, Long aftertaste, Sweet all the time, Tangerine, Tea like",Washed Anaerobic,Gesha,Colombia
5,88.56,El Cedro,$17.10,"$23,184.86","Bohemian (An-am), ESCUDO Coffee",Servio Tulio Botina Quinayas,,Colombia,2020,San Agustin,Huila,"Citrus (3), Caramel (2), Peach (2), Almond, Apple, Blackberry, Cacao Nibs, Caramelized, Cherry, Cinnamon, Floral, Honey, Honey suckle, Jasmine citrus, Marzipan, Milk Chocolate, Nut, Panela, Passion Fruit, Roasted Almond, Stone Fruit, Sweet, Winey","Citric Acid (2), Lemon (2), Bright, Citrus, Complex, Cranberry, Crisp, Dried Fruit, Grapefruit, Malic Acid, Medium, Red Grape, Tangy, Tartaric, White Grape","Winey (2), Cigar, Cocoa Powder, Creamy, Smooth aftertaste, Stone Fruit, Strawberry, Syrupy, Textured, Tropical Fruit",Washed,Bourbon,Colombia
6,88.47,San Pedro,$40.70,"$22,880.73",THE COFFEE LAB,Milton Leonardo Monrroy Lopez,,Colombia,2020,Ibagué,Tolima,"Tropical Fruit (5), Apricot (2), Acetic Acid, Berry, Black Currant, Boozy, Cinnamon, Concord Grape, Dried Fig, Fermented, Floral, Fruity, Green, Honey, Jasmine, Orange, Orange Blossom, Pineapple, Powerful, Stone Fruit, Strawberry, Violet","Complex (3), Pineapple (2), Winey (2), Apricot, Butyric Acid, Cherry, Citric Acid, effervescent, Fruity, Mild, Passion Fruit, Refined, Ripe orange, Soft, Sparkling, Tangy, Tartaric","Juicy (3), Complex, Consistent great aroma, Creamy mouthfeel, Excellent, High impact, Layered, Rich mouthfeel, Smooth mouthfeel, Sparkling, Strawberry, Tangerine, Yellow apricot",Natural,Gesha,Colombia
7,88.41,El Paraiso,$25.30,"$22,589.61",Caravela Coffee for Artisan Roast Scotland,Jose Ignacio Gomez Lopez,,Colombia,2020,Buesaco,Nariño,"Brown Sugar (2), Citrus (2), Floral (2), Jasmine (2), Tropical Fruit (2), Apple, Apricot, Black Tea, Cane sugar, Cocoa, Fruity, Grape, Menthol, Orange, Peach, Red Currant, Red Grape, Stone Fruit, Vanilla, Yellow plum","Citric Acid (4), Bright (3), Orange (2), Stone Fruit (2), Apricot, Berry, Coating, Crisp, Juicy, Lemon, Malic Acid, Mandarin Orange, Multiple fruit acid, Peach, Sweet, Tangy, Tart, Tartaric, Tartaric acid","Black Tea, Brown Sugar, Citric Acid, Harvey, Jasmine, Juicy, Lively, Round mouthfeel, Silky, Structured, Very sweet",Washed,Caturra,Colombia
8,88.22,El Obraje,$36.70,"$9,708.99","MUSEO Co., Ltd.",Pablo Andres Guerrero Perez,,Colombia,2020,Buesaco,Nariño,"Cherry (2), Citrus (2), Floral (2), Almond, Apple, Berry, Black plum, Black Tea, Caramel, Chocolate, Complex berry, Citric, Fruity, Honey, Jasmine, lime zest, Mandarin Orange, Milk Chocolate, Orange Blossom, Peach, Sweet, Tomato","Bright (2), Citric Acid (2), Orange (2), Complex, Delicate, Malic Acid, Mandarin Orange, Mild, Muscat, Orange Blossom, Pineapple, Ripe stone, Soft, Structured, Tartaric acid","Clean aftertaste, Complex, Cools of a bit dry, Creamy, Delicate, Elegant, Excellent, Floral, Fresh, Fruity aroma, Green Tea, Juicy, Lemon & Lime, Peach, Silky",Natural,Gesha,Colombia
9,88.0,Bella Vista,$13.70,"$20,840.30","EL CAFE Coffee Roasters, Coffee Libre, Told A Story, Youdong Coffee, Coffee Montage, 304 roasters, Hankook Coffee, FEBRUARY ROASTERS, Cafe Shinbi’s LOVE",Luz Dary Chavez Narvaez,2000 m.a.s.l,Colombia,2020,Buesaco,Nariño,"Chocolate (5), Caramel (3), Berry, Black Cherry, Butter, Cacao Nibs, Citrus, Cocoa, Dried Fig, Fresh bread, Grape, Milk Chocolate, Roasted nuts, Sweet & Sugary, Sweet almond, Tropical Fruit, White sugar","Citric Acid (4), Malic Acid (2), Bright, Cherry, Citrus, Complex, Dried Fruit, Grapefruit, Mandarin Orange, Multiple fruit acid, Orange, Sweet, Tartaric","Berry jam, Cigar, Coating, Creamy, Fades, Sweet & Sugary, Syrupy, Well balanced",Washed,Caturra,Colombia
10,87.97,San Nicolas,$13.40,"$12,850.73",Kaffebrenneriet As,Artemio Libardo Lopez Loaiza,,Colombia,2020,Buesaco,Nariño,"Cherry (2), Peach (2), Almond, Berry, Black Currant, Brown Spice, Brown Sugar, Butter, Caramel, Chocolate, Citrus, Jasmine, Lemon, Orange, Raspberry, Red candy, Roasted Almond, Stone Fruit, Tomato, Yellow apricot","Bright (4), Lemon (2), Tangerine (2), Cherry, Complex, Crisp, Malic Acid, Structured, Tartaric","Smooth (2), Coating, Juicy, Mandarin Orange, Simple, Walnut shell",Washed Anaerobic,"Caturra, Castillo, Colombia",Colombia
11,87.75,El Sauce,$11.80,"$14,828.23",Nagahama Coffee Inc.,Pastor Gomez Gomez,,Colombia,2020,Buesaco,Nariño,"Floral (3), Caramel (2), Almond, Apricot, Black Tea, Butter, Caramel at break, Cherry, Citrus, Fruity, Grassy, Lemon, Molasses, Pear, Sweet","Citric Acid (3), Green Apple (2), Blackberry, Bright, Citrus, Delicate, Integrated, Malic Acid, Orange, Tartaric, Tartaric acid, citric","Crisp, Grapefruit, Improves, Juicy, Lemon & Lime, Plum, Walnut, With long bitterness and lasted long",Washed,Caturra,Colombia
12,87.44,La Cruz,$11.60,"$11,508.13","Tashiro Coffee Co., Ltd",Artemio Libardo Lopez Loaiza,,Colombia,2020,Buesaco,Nariño,"Brown Sugar (2), Chocolate (2), Citrus (2), Floral (2), Almond, Blueberry, Caramel, Cheese, Cookies, Dark Chocolate, Pineapple, Red Apple, Red Currant, Roasted nuts","Citric Acid (3), Bright (2), Malic Acid (2), Cherry, Juicy, Layered, Lime, Multiple fruit acid, Orange, Plum, Simple, Tangerine, Tartaric","Clear citrus, Lingering, Low complexity, Refined, Stone Fruit, Sweet & Sugary, Syrupy",Washed Anaerobic,"Caturra, Castillo, Colombia",Colombia
13,87.41,Los Cachingos,$11.10,"$10,645.01","Wataru & Co., Ltd.",Edinson Ramirez Lopez,,Colombia,2020,Pitalito,Huila,"Berry (2), Caramel (2), Cherry (2), Apricot, Berry jam, Black Cherry, Black plum, Blueberry, Brown Sugar, Citric Acid, Citrus, Cocoa, Cola, Dark Chocolate, Dried Dates, Nut, Raisin, Ripe berry, Stone Fruit, Strawberry, Sweet","Lime (2), Malic Acid (2), Tartaric (2), Apple, Bright, Citric Acid, Citrus, Cranberry, Mild, Multiple fruit acid, Peach, Tart, White Grape","Aroma of raisin, Caramel, Complex, Crisp finish, Milk candy, Red Grape, Rich, Smooth",Washed,Caturra,Colombia
14,87.41,Los Alpes,$11.10,"$10,277.93",Kyokuto Fadie Corporation,Amparo Pajoy Trujillo,,Colombia,2020,La Plata,Huila,"Floral (3), Almond (2), Apricot (2), Nut (2), Black tea stem, Brown Spice, Brown Sugar, Butter, Citrus, Dark berries, Fruity, Grapefruit, Green Tea, Hazelnut, Jasmine, Light caramel orange, Milk candy, Milk Chocolate, Mint, Pear, Roasted Almond, Stale Bread, Sweet, Tomato, Vegetative, White grapes","Citric Acid (5), Bright (2), Malic Acid (2), Basic, Lemon, Lime, Orange, Stone Fruit, Tangerine with low freshness, Tartaric acid, Vibrant","Lemon black tea, Low complexity, Tea like, Very sweet, Zesty",Washed,Colombia F6,Colombia
15,87.38,El Estoraque,$15.10,"$14,980.41","Wataru & Co., Ltd.",Maria Ilda Armero Diaz,,Colombia,2020,Buesaco,Nariño,"Apricot (3), Chocolate (2), Floral (2), Tropical Fruit (2), Berry, Berry jam, Black plum, Concord Grape, Fruit punch, Grassy, Hazelnut, Lime, Nut, Orange, Pear, Red Apple","Citric Acid (2), Tangy (2), Berry, Bright, Lively, Malic Acid, Melon, Mild, Orange, Papaya, Pineapple, Red Apple, Stone Fruit, Sweet, Vibrant","Lingering, Milk Chocolate, Sticky, Sweet & Sugary",Washed,"Caturra, Castillo",Colombia
16,87.34,El Naranjo,$14.10,"$12,589.47",Campos Coffee,Piedad Ceron Dominguez,,Colombia,2020,Tablón de Gomez,Nariño,"Apricot (2), Berry (2), Chocolate (2), Banana, Berry chocolate, Black plum, Brown Sugar, Caramel, Cherry, Floral, Nut, Red fruit, Ripe, Spicy, Stone Fruit, Strawberry, Strawberry jam raspberry candy floral, Sweet, Syrupy","Citric Acid (3), Acetic Acid (2), Cranberry (2), Lemon (2), Lime (2), Bright, Citric, Malic Acid, Orange, Pomegranate, Red Currant, Sour, Tangy, Tart, Tartaric acid","Cane sugar, Citrus, Complex, Herb-like, Intense, Sweet Aromatics",Honey,"Colombia, Castillo",Colombia
17,87.31,La Guaca,$16.70,"$20,433.45","Wataru & Co., Ltd.",Jose Herman Salazar,,Colombia,2020,Pitalito,Huila,"Citrus (2), Fruity (2), Tropical Fruit (2), Almond, Apple lychee, Apricot, Brown Sugar, Caramel, Cherry, Chocolate, Cocoa, Dusty, Floral, Honey, Jasmine, Lychee, Orange, Peach, Sweet & Sugary, white tea, Winey","Bright (3), Citric Acid (3), Lemon (2), Cranberry, Dried Fruit, Grape, Medium, Mild, Raisin, Raisin, Tart","Cocoa Powder, Improved, Medium clarity, Missing fresh fruit characteristic, Pineapple, Quick finish, Raisin, Smooth, Sweet Comfortable, Transparent",Washed,Pink Bourbon,Colombia
18,87.28,Bella Vista,$10.65,"$10,565.65","Coffee County, Wataru & Co., Ltd.",Franco Alirio Paz,,Colombia,2020,Buesaco,Nariño,"Citrus (3), Floral (3), Lemon (2), Vanilla (2), Apple, Berry, Cane sugar, Caramel, Chocolate, Cream, Dark Chocolate, Lemon lime, Lemon peel, citrus chocolate, Peach, Pear, Raisin, Sugarcane, Sweet & Sugary","Citric Acid (4), Tart (3), Citrus (2), Lemon (2), Grapefruit, Juicy, Malic Acid, Multiple fruit acid, Stone Fruit, Tartaric acid","Exotic, Lemon overnight tea, Lingering, Milk Chocolate, Stone Fruit, Syrupy, Tea bitterness",Washed,Caturra,Colombia
19,87.25,El Chirimoyo,$35.10,"$13,928.73",Knock Box Coffee,Henry Rodriguez Moncayo,,Colombia,2020,Buesaco,Nariño,"Floral (6), Chocolate (2), Almond, Bergamot, Berry, Cane sugar, Caramel, Cranberry, Fruity, Honey, Jasmine, Lime, Nut, Red fruit, Sweet, Sweet spice","Citric Acid (4), Bright (3), Lemon (2), Clean citric, Crisp, Grapefruit, Green Apple, Malic Acid, Orange, Simple, Tart","Black Tea, Cane sugar, Lactic, Orange Blossom, Quick finish, Sweet Aromatics, Tea like",Natural,Gesha,Colombia
20,87.22,El Naranjo,$10.30,"$20,096.23",Honu Kato Coffee Inc.,Carlos Enrique Tunubala Vitovis,,Colombia,2020,Inza,Cauca,"Citrus (2), Floral (2), Lemon (2), Brown Sugar, Cane sugar, Caramel, Cherry, Chocolate, Honey, Lemongrass, Mango, Milk Chocolate, Nut, Spicy, Sweet & Sugary, Sweet Aromatics, Vanilla, Vegetative, White Grape, Woody","Bright (4), Citric Acid (4), Tartaric (2), Apricot, Complex, Lactic, Lemon, Refined, Vibrant","Brown Spice, Brown Sugar, Creamy, Lingering finish, Low lime, Not clean, Silky",Washed,Bourbon,Colombia
21,87.19,La Peña,$11.20,"$10,370.53",19grams / Tres Cabezas,Edgar Jimmy Gomez Cifuentes,,Colombia,2020,Cartago,Nariño,"Black plum (2), Citrus (2), Floral (2), Almond, Apple, Apricot, Banana, Berries, Brown Sugar, Caramel, Cherry, Chocolate, Cinnamon, Cranberry, Fruity, Hazelnut, Jasmine, Milk Chocolate, ripe fruit, Strawberry choco, Sweet, Tropical floral lemon, Violet, White sugar","Bright (3), Citric Acid (2), Complex (2), Tartaric acid (2), Berry, Dried Dates, Dried Fruit, Orange, Red wine, Sharp, Stone Fruit","Complex and sweet, High sweetness, Juicy, Lingering, Syrupy",Washed,Caturra,Colombia
22,87.13,La Piragua,$35.20,"$32,593.09","Intelligentsia (USA), Single O (AU), La Boheme (CZ), Moustache Coffee Club (USA)",Alexander Vargas Osorio,,Colombia,2020,Palestina,Huila,"Caramel (2), Cherry (2), Floral (2), Black Tea, Chocolate, Grain & Cereal, Grape, Hay, Honey, Jasmine, Marzipan, Raisin, Sweet, Sweet & Sugary","Citric Acid (4), Lemon (2), Malic Acid (2), Bright, Citrus, Complex, Juicy, Red Grape, Tangerine, White Grape","Coating, Complex, Lemongrass, Longevity, Low lime, Powerful aroma, Roasted Hazelnut, Smooth, Sweet, Well balanced",Washed,Pink Bourbon,Colombia
23,87.09,La Mina,$10.00,"$20,172.30","Wataru & Co., Ltd.",Franco hector Jose Lopez,,Colombia,2020,Buesaco,Nariño,"Chocolate (2), Apricot, Banana, Bittersweet Chocolate, Brown Sugar, Caramelized, Citrus, Cream, Panela, Plum, Raspberry, Red Currant, Roasted nuts, Tropical Fruit","Malic Acid (4), Citric Acid (2), Lemon (2), Apricot, Bright, Citric, Plums, Sharp, Simple, Stone Fruit, Structured, Sweet, Tangerine, Tartaric acid","Juicy, Lingering, Low complexity, Rough finish, Stone Fruit",Honey,Castillo,Colombia
24,87.0,Betania,$10.30,"$9,196.56",Hannoversche Kaffeemanufaktur GmbH & Co. Kg,Linarco Rodriguez Ospina,1700 m.a.s.l ,Colombia,2020,Palestina,Huila,"Citrus (3), Orange (3), Brown Sugar (2), Caramel (2), Almond, Black Cherry, Chocolate, Citric, Cranberry, Floral, Fresh bread, Grassy, Green Apple, Herb-like, Honey, Oolong tea, Raspberry, Savory, Stone Fruit, Sugary, Tropical, Vanilla, Vegetative","Citric Acid (7), Malic Acid (3), Bright (2), Soft (2), Apricot, Citrus, Crisp, Green Apple, Lemon, Tangy","Apricot, Consistency, Consistent, Fresh bread, Grassy, Quick finish, Smooth, Structured",Washed,"Caturra, Tabi",Colombia
1a,90.61,Obraje,$135.10,"$49,153.43","K.V.N. Import Export (1991) Co.,Ltd",Pablo Andrés Guerrero Pérez,,Colombia,2021,,,"Complex, Elegant, Floral, Rich aromatic, Well balanced","Floral, Jasmine, Peach, Bergamot, Lemon & Lime , Mandarin Orange , Vanilla , Black Tea, Brown Sugar, Canela, Chamomile, Citrus, Dark Chocolate, Grape, Grapefruit, Green Apple, Jasmine Honeysuckle, Jasmine tea, Kiwi, Lemongrass, Lime, Limoncillo, Melocoton, Melon, Orange Blossom, Passion Fruit, Perfume, Raspberry, Ripe peach, Sweet and clean, Tangerine, Toronja, White grape juice","Citric Acid , Malic Acid, Bergamot, Berry, Bright, Citric, Crisp, Lively, Tangerine",Washed,Gesha,Colombia
1b,90.61,Obraje,$122.10,"$40,384.58","K.V.N. Import Export (1991) Co.,Ltd",Pablo Andrés Guerrero Pérez,,Colombia,2021,,,"Complex, Elegant, Floral, Rich aromatic, Well balanced","Floral, Jasmine, Peach, Bergamot, Lemon & Lime , Mandarin Orange , Vanilla , Black Tea, Brown Sugar, Canela, Chamomile, Citrus, Dark Chocolate, Grape, Grapefruit, Green Apple, Jasmine Honeysuckle, Jasmine tea, Kiwi, Lemongrass, Lime, Limoncillo, Melocoton, Melon, Orange Blossom, Passion Fruit, Perfume, Raspberry, Ripe peach, Sweet and clean, Tangerine, Toronja, White grape juice","Citric Acid , Malic Acid, Bergamot, Berry, Bright, Citric, Crisp, Lively, Tangerine",Washed,Gesha,Colombia
2a,90.07,La Siria,$95.10,"$37,745.19","Cometeer, George Howell, Bird Rock Coffee, Intelligentsia, Passenger",Anibal Celestino Sanchez Burbano,,Colombia,2021,,,"Brown Sugar, Pineapple, Smooth mouthfeel and aromatic","Jasmine , Floral , Mandarin Orange , Bergamot , Honey , Apricot, Black Tea, Brown Sugar, Citrico, Dried Dates, Maple Syrup, Grapefruit, Green Tea, Honey, Jasmine Honeysuckle, Lemon, Lemon & Lime, Orange, Panela, Rich, Stone Fruit, Sweet, Tropical Fruit, Very sweet, White Grape","Bergamot, Brillante, Citric Acid, Citrica, Citrus, Crisp, Grape, Grapefruit, Lemon, Malic Acid, Mandarin Orange, Mellow, Orange juice, Peach, Tropical Fruit",Washed,Gesha,Colombia
2b,90.07,La Siria,$95.10,"$37,745.19",Latorre & Dutch Coffee (China) for MANNER COFFEE (China),Anibal Celestino Sanchez Burbano,,Colombia,2021,,,"Brown Sugar, Pineapple, Smooth mouthfeel and aromatic","Jasmine , Floral , Mandarin Orange , Bergamot , Honey , Apricot, Black Tea, Brown Sugar, Citrico, Dried Dates, Maple Syrup, Grapefruit, Green Tea, Honey, Jasmine Honeysuckle, Lemon, Lemon & Lime, Orange, Panela, Rich, Stone Fruit, Sweet, Tropical Fruit, Very sweet, White Grape","Bergamot, Brillante, Citric Acid, Citrica, Citrus, Crisp, Grape, Grapefruit, Lemon, Malic Acid, Mandarin Orange, Mellow, Orange juice, Peach, Tropical Fruit",Washed,Gesha,Colombia
3,89.46,El Zafiro,$55.00,"$23,648.90",KALDI COFFEE FARM,Nancy Liliana Maca Pinilla,,Colombia,2021,,,"Caramel, Sweet spice, Tea like","Chocolate , Peach , Banana, Blackberry, Blueberry, Brown Sugar, Caramelo, Cinnamon, Plum, Citrus Fruit, Complex, Concord Grape, Cranberry, Dark Chocolate, Dark Green, Dried Fruit, effervescent, Grape candy, Grapefruit, Hibiscus, Hops, Licorice-anise, Melon, Molasses Syrup,Dried Dates, Passion Fruit, Pineapple, Plum, Red Grape, Redwine, Strawberry, Sweet, Tropical Fruit, Wild fruityness,","Blight, Citrus, Complex, Crisp, Crusp, Dried Dates, Dried Fig, Dried Fruit, Golden Raisin, Grape, Lemon & Lime, Plum, Raspberry, Tartalic, Tartanic, Winey",Natural,Castillo,Colombia
4,89.43,Guayacanes – El Tejar,$41.40,"$21,908.88","Proud Mary Coffee Roasters, SUPREMO COFFEE, Timesclub, Fineprint",Beatriz Elena Vélez Restrepo,,Colombia,2021,,,"Brown Sugar, Sweet Spice","Floral , Black Tea , Guava , Peach , Avellanas, Citrico, Citrus Fruit, Clementine, Cocoa, Creamy body, Fresh, Green Apple, Green Tea, Jasmine, Lavender, Lemon, Lychee, Mango, Milk Chocolate, Pineapple, Prune, Red Apple, Star Fruit, Stone Fruit, Strawberry, Sweet, Sweet spice","Lemon & Lime , Bright, Citric Acid, Licorice-anise, Malic Acid, Plum, Strawberry, Tropical Fruit",Washed,Gesha,Colombia
5,89.39,El Casino,$20.30,"$28,871.27",Terarosa (Haksan Co. Ltd),Jose Elcías Martinez Guzmán,,Colombia,2021,,,"Complex, LIVELY ACIDITY, Overall Sweet","Plum , Citrus , Orange , Brown Sugar , Grapefruit , Honey , Mandarin Orange , Black Tea, Bright, Caramel, Cherry, Citric, Clean, Cocoa, Elegant, Floral, Honeydew, Intence fruity, Lemongrass, Melon, Naranja, Pineapple, Raisin, Red Grape, Stone Fruit, Tart, Vanilla, Watermelon, White Grape","Citric Acid , Malic Acid , Bright, Complex, Juicy, Mandarin Orange, Pineapple, Sweet, Tangerine",Washed,Bourbon Rosado,Colombia
6,89.32,La Guaca,$20.60,"$20,440.35","Caravela Coffee, Bean Box, Goodboybob, Equator, Black & White, L’escargot d’or cosmetocafe, Belux Coffee Roasters, Passenger, Onyx Coffee Labs, Goshen Coffee",Jose Herman Salazar,,Colombia,2021,,,"Dimention aromatic, Overall Sweetness","Black Cherry , Cacao Nibs , Floral , Grape , Peach, Berry, Black Currant, Blueberry, Caramel, Chocolate, Citrus Fruit, Cola, Complex, Dark sugar, Dried Fruit, Grapefruit, Green Tea, Mango, Melon, Milk Chocolate, Pineapple, Prune, Strawberry, Tamarind, Vanilla","Grape , Malic Acid , Acetic Acid, Bright, Citric Acid, Crisp, Grapefruit, Kiwi, Mandarin Orange, Mango, Pineapple, Tangerine",Washed,Aji,Colombia
7,88.86,La Piragua,$17.30,"$17,165.93",BPC for Coffee Fiel,Alexander Vargas Osorio,,Colombia,2021,,,"Candy, Honey, Lively acidity and complexity aromatic flavor, Overall Sweet","Caramel , Honey , Stone Fruit , Hazelnut, Bakers Chocolate, Black Tea, Brown Sugar, Candy, Cherry, Citric Acid, Cocoa, Complex, Cranberry, Dried Fig, Floral, Good sweetness, Lime, Mandarina, Melon, Milk Chocolate, Nutty, Peach, Prune, Red Currant, Thick body, Vainilla, Yellow plum","Citric Acid , Cherry, Citrus, Dark berry, Dark Chocolate, Mellow, Orange, Plum, Raspberry, Structure, Sweet & Sugary",Washed,Bourbon Rosado,Colombia
8,88.64,La Miel,$40.10,"$21,220.92",Sarutahiko Coffee Inc.,Miguel Angel Botina Ceron,1720 m.a.s.l,Colombia,2021,,,Chocolate notes,"Chocolate , Black Tea , Grapefruit , Melon , Peach, Apple, Brown Sugar, Cacao Nibs, Citrus, Dried Fruit, Green Tea, Kiwi, Mandarine Orange, Miel, Berries, Muddled, Papaya, Peer, Raspberry, Red Currant, Red Grape, Rose Hips, Strawberry, Watermelon","Berry, Black Cherry, Black Tea, Citric Acid, Lemon & Lime, Malic Acid, Red Currant, Rose Hips, Tartalic",Honey Anaerobic,Bourbon Rosado,Colombia
9,88.57,El Cedro,$17.30,"$13,732.74",M.I.COFFEE CORPORATION,Servio Tulio Botina Quinayos,,Colombia,2021,,,"Balanced, Very Complex, Overall Sweet","Apricot , Blackberry , Caramel , Floral , Honey , Orange , Hazelnuts, Bergamot, Berries, Bright and lively, Brown Sugar, Citric, Dried Fruit, Flora, Green Apple, Long finish, Passion Ftuir, Melon, Minty, Mixed stone fruit, Nutty, Peach, Plum, Smooth, Stone Fruit, Sweet & Sugary, Sweet and clean, Vanilla, White Grape, Yellow plum","Citric Acid , Apple, Bright, Complex, Green Apple, Juicy, Lemon & Lime, Lively, Malic Acid, Raspberry, Red Currant, Strawberry",Washed,Bourbon,Colombia
10,88.39,La Fortuna,$19.10,"$27,164.59",KALDI COFFEE FARM,Victor Feliz Ramirez Cruz,,Colombia,2021,,,"Smooth and round, Sweet and tea like finished","Floral , Brown Sugar , Caramel , Green Tea , Mandarin Orange , Red Grape , Almond, Black Tea, Caramelized, Citrus, Clean, Cranberry, Grapes, Grassy, Herb-like, Mandalin, Melon, Naranja, Overall Sweet, Peach, Red Apple, Red Currant, Simple, Sweet, Vanilla","Grapefruit , Bright, Citric Acid, Lemon & Lime, Plum, Structure, Tangerine, Tartalic",Washed,Gesha,Colombia
11,87.93,San Jose,$42.00,"$30,561.30","Global Beans, Degood Coffee, GZ COFFEE-ERA, ARC Coffee, The Baristro, Caffe de Aromi co.,ltd, Ministry of Roasters, Santipanich co.,ltd, Annie Coffee Roaster, Stupiducks Coffee",Consuelo Maria Garcia Marin,,Colombia,2021,,,"Bitter, Dark Chocolate, Delicate, Dried Dates, Floral, Herb-like, Sweet Aromatics, Sweet spice, Rose tea, Winey","Dark Chocolate , Cinnamon , Floral , Tamarindo, Blueberry, Bubble gum, Cherries, Chocolate, Grape, Hibiscus, Honey, Lime, Lychee, Mandarin Orange, Mango, Melocoton, Milk Chocolate, Papaya, Plum, Raspberry, Red Grape, Rose, Soapy, Strawberry","Citric Acid , Crisp , Black Cherry, Bright acidity, Grape, Lemon & Lime, Red Grape, Tartalic, Winey",Honey,Gesha,Colombia
